"You request accepted for review!","Ваш запит прийнято на розгляд"
"Your request can't be sent. Please, contact us if you see this message.","Ваш запит не може бути відправлено. Будьласка звяжіться з нами якщо бачите це повідомлення"
"Loyalty program for Regular Customers","Програма знижок для постійних покупців"
Firstname,Ім'я
Email,Електронна пошта
"Send request","Відправити запит"
"Requested product: %1","Запит продукта: %1"
"Message: %1","Повідомлення: %1"
"Regular Customer","Постійний клієнт"
"Loyalty program","Програма лояльності"
